2023-06-13 19:21:06.195 | INFO     | __main__:run:34 - Namespace(img_size=128, eeg_dim=128, latent_dim=100, weight_path=None, img_w_eeg_path='/home/exx/GithubClonedRepo/EEG-Research/Dataset/imagenet', img_no_eeg_path='/media/exx/HDD1/LanxHuyen/CVPR2017/imagenet_noeeg_40', eeg_embedding_path='/home/exx/GithubClonedRepo/EEG-Research/Experiment/Generative_Models/EEG_features_extractor/avg_eeg_embeddings_128.pth', pretrained_netG=None, pretrained_netD=None, num_epochs_stage1=1000, num_epochs_stage2=50, start_class=10, end_class=14, dataset='CVPR2017', eeg_path='/media/exx/HDD1/LanxHuyen/CVPR2017/eeg_55_95_std.pth', splits_path='/media/exx/HDD1/LanxHuyen/CVPR2017/block_splits_by_image_all.pth', log_path='/home/exx/GithubClonedRepo/EEG-Research/Experiment/Generative_Models/ACGAN', info='ACGAN_Khoi_5_class', batch_size=100, log_interval=50, arch='train', save_ckpt='checkpoints/', num_classes=5, num_workers=4, gpu=1, lr=0.0002, wd=0.0001, optim='Adam', gamma=200, lr_step=10, pretrain=False, momen=0.9, nesterov=False, device=device(type='cuda', index=1))
2023-06-13 19:21:15.259 | INFO     | trainer_GAN:trainer_GAN:116 - Stage 1 - Epoch [1/1000], Loss D: 5.4875, Loss G: 3.1795, D(x): 0.5163, D(G(z)): 0.5447 | 0.4330, aux_acc: 0.4900
2023-06-13 19:21:20.731 | INFO     | trainer_GAN:trainer_GAN:116 - Stage 1 - Epoch [2/1000], Loss D: 4.8729, Loss G: 3.7168, D(x): 0.2704, D(G(z)): 0.2799 | 0.4949, aux_acc: 0.4200
2023-06-13 19:21:26.191 | INFO     | trainer_GAN:trainer_GAN:116 - Stage 1 - Epoch [3/1000], Loss D: 5.4952, Loss G: 7.2983, D(x): 0.7623, D(G(z)): 0.7562 | 0.0003, aux_acc: 0.4200
2023-06-13 19:21:31.686 | INFO     | trainer_GAN:trainer_GAN:116 - Stage 1 - Epoch [4/1000], Loss D: 4.6870, Loss G: 7.6337, D(x): 0.7930, D(G(z)): 0.1512 | 0.0211, aux_acc: 0.5400
2023-06-13 19:21:37.343 | INFO     | trainer_GAN:trainer_GAN:116 - Stage 1 - Epoch [5/1000], Loss D: 4.7051, Loss G: 9.3094, D(x): 0.8585, D(G(z)): 0.2258 | 0.0007, aux_acc: 0.4500
2023-06-13 19:21:42.820 | INFO     | trainer_GAN:trainer_GAN:116 - Stage 1 - Epoch [6/1000], Loss D: 4.7255, Loss G: 9.4523, D(x): 0.8817, D(G(z)): 0.2706 | 0.0010, aux_acc: 0.6600
2023-06-13 19:21:48.431 | INFO     | trainer_GAN:trainer_GAN:116 - Stage 1 - Epoch [7/1000], Loss D: 4.6783, Loss G: 11.1221, D(x): 0.7461, D(G(z)): 0.0001 | 0.0000, aux_acc: 0.4000
2023-06-13 19:21:53.961 | INFO     | trainer_GAN:trainer_GAN:116 - Stage 1 - Epoch [8/1000], Loss D: 5.1110, Loss G: 10.5066, D(x): 0.7296, D(G(z)): 0.3464 | 0.0174, aux_acc: 0.6200
2023-06-13 19:21:59.455 | INFO     | trainer_GAN:trainer_GAN:116 - Stage 1 - Epoch [9/1000], Loss D: 4.1222, Loss G: 4.7840, D(x): 0.7919, D(G(z)): 0.2603 | 0.1145, aux_acc: 0.5900
2023-06-13 19:22:05.038 | INFO     | trainer_GAN:trainer_GAN:116 - Stage 1 - Epoch [10/1000], Loss D: 4.0504, Loss G: 4.4062, D(x): 0.5327, D(G(z)): 0.4308 | 0.1137, aux_acc: 0.5600
2023-06-13 19:22:10.547 | INFO     | trainer_GAN:trainer_GAN:116 - Stage 1 - Epoch [11/1000], Loss D: 4.1682, Loss G: 4.6297, D(x): 0.7231, D(G(z)): 0.3845 | 0.0300, aux_acc: 0.6900
2023-06-13 19:22:16.073 | INFO     | trainer_GAN:trainer_GAN:116 - Stage 1 - Epoch [12/1000], Loss D: 4.0181, Loss G: 4.9902, D(x): 0.8179, D(G(z)): 0.4965 | 0.0087, aux_acc: 0.4700
2023-06-13 19:22:21.591 | INFO     | trainer_GAN:trainer_GAN:116 - Stage 1 - Epoch [13/1000], Loss D: 4.0634, Loss G: 5.5765, D(x): 0.8015, D(G(z)): 0.4505 | 0.0523, aux_acc: 0.6700
2023-06-13 19:22:27.079 | INFO     | trainer_GAN:trainer_GAN:116 - Stage 1 - Epoch [14/1000], Loss D: 4.3117, Loss G: 5.8672, D(x): 0.4853, D(G(z)): 0.1834 | 0.1830, aux_acc: 0.6100
2023-06-13 19:22:32.647 | INFO     | trainer_GAN:trainer_GAN:116 - Stage 1 - Epoch [15/1000], Loss D: 3.7122, Loss G: 5.5632, D(x): 0.8735, D(G(z)): 0.1286 | 0.0861, aux_acc: 0.6500
