2023-06-10 09:28:26.626 | INFO     | __main__:run:34 - Namespace(img_size=128, eeg_dim=128, latent_dim=100, weight_path=None, img_w_eeg_path='/home/exx/GithubClonedRepo/EEG-Research/Dataset/imagenet', img_no_eeg_path='/media/exx/HDD1/LanxHuyen/CVPR2017/imagenet_noeeg_40', eeg_embedding_path='/home/exx/GithubClonedRepo/EEG-Research/Experiment/Generative_Models/EEG_features_extractor/avg_eeg_embeddings_128.pth', pretrained_netG=None, pretrained_netD=None, num_epochs_stage1=50, num_epochs_stage2=50, start_class=0, end_class=9, dataset='CVPR2017', eeg_path='/media/exx/HDD1/LanxHuyen/CVPR2017/eeg_55_95_std.pth', splits_path='/media/exx/HDD1/LanxHuyen/CVPR2017/block_splits_by_image_all.pth', log_path='/home/exx/GithubClonedRepo/EEG-Research/Experiment/Generative_Models/ACGAN', info='ACGAN_no_eeg', batch_size=100, log_interval=10, arch='train', save_ckpt='checkpoints/', num_classes=10, num_workers=4, gpu=0, lr=0.0002, wd=0.0001, optim='Adam', gamma=200, lr_step=10, pretrain=False, momen=0.9, nesterov=False, device=device(type='cuda', index=0))
2023-06-10 09:28:40.213 | INFO     | trainer_GAN:trainer_GAN:108 - Stage 1 - Epoch [1/50], Loss D: 7.2642, Loss G: 4.0852, D(x): 0.4302, D(G(z)): 0.3788 | 0.2396, aux_acc: 0.2500
2023-06-10 09:28:49.850 | INFO     | trainer_GAN:trainer_GAN:108 - Stage 1 - Epoch [2/50], Loss D: 6.5825, Loss G: 7.3455, D(x): 0.7211, D(G(z)): 0.1672 | 0.1370, aux_acc: 0.2222
2023-06-10 09:28:59.529 | INFO     | trainer_GAN:trainer_GAN:108 - Stage 1 - Epoch [3/50], Loss D: 6.6022, Loss G: 10.3377, D(x): 0.6488, D(G(z)): 0.0000 | 0.0000, aux_acc: 0.0833
2023-06-10 09:29:09.268 | INFO     | trainer_GAN:trainer_GAN:108 - Stage 1 - Epoch [4/50], Loss D: 6.2815, Loss G: 10.2451, D(x): 0.9074, D(G(z)): 0.0345 | 0.0070, aux_acc: 0.2500
2023-06-10 09:29:18.992 | INFO     | trainer_GAN:trainer_GAN:108 - Stage 1 - Epoch [5/50], Loss D: 5.9031, Loss G: 8.0807, D(x): 0.7243, D(G(z)): 0.2635 | 0.1148, aux_acc: 0.3889
2023-06-10 09:29:28.659 | INFO     | trainer_GAN:trainer_GAN:108 - Stage 1 - Epoch [6/50], Loss D: 5.7353, Loss G: 4.7838, D(x): 0.6552, D(G(z)): 0.5004 | 0.3537, aux_acc: 0.3889
2023-06-10 09:29:38.414 | INFO     | trainer_GAN:trainer_GAN:108 - Stage 1 - Epoch [7/50], Loss D: 5.5964, Loss G: 4.8276, D(x): 0.8046, D(G(z)): 0.2584 | 0.0866, aux_acc: 0.3889
2023-06-10 09:29:48.056 | INFO     | trainer_GAN:trainer_GAN:108 - Stage 1 - Epoch [8/50], Loss D: 5.4508, Loss G: 7.3329, D(x): 0.8160, D(G(z)): 0.3889 | 0.0048, aux_acc: 0.2222
2023-06-10 09:29:57.799 | INFO     | trainer_GAN:trainer_GAN:108 - Stage 1 - Epoch [9/50], Loss D: 5.2973, Loss G: 6.7027, D(x): 0.6395, D(G(z)): 0.1922 | 0.1437, aux_acc: 0.2778
2023-06-10 09:30:07.500 | INFO     | trainer_GAN:trainer_GAN:108 - Stage 1 - Epoch [10/50], Loss D: 5.3126, Loss G: 5.8501, D(x): 0.6959, D(G(z)): 0.1113 | 0.0408, aux_acc: 0.3889
2023-06-10 09:30:17.210 | INFO     | trainer_GAN:trainer_GAN:108 - Stage 1 - Epoch [11/50], Loss D: 5.4315, Loss G: 7.0896, D(x): 0.7552, D(G(z)): 0.1208 | 0.0196, aux_acc: 0.6111
2023-06-10 09:30:27.054 | INFO     | trainer_GAN:trainer_GAN:108 - Stage 1 - Epoch [12/50], Loss D: 5.2370, Loss G: 5.3312, D(x): 0.7250, D(G(z)): 0.1588 | 0.1289, aux_acc: 0.4444
2023-06-10 09:30:36.865 | INFO     | trainer_GAN:trainer_GAN:108 - Stage 1 - Epoch [13/50], Loss D: 5.2437, Loss G: 5.9395, D(x): 0.7932, D(G(z)): 0.3989 | 0.0769, aux_acc: 0.3889
2023-06-10 09:30:46.572 | INFO     | trainer_GAN:trainer_GAN:108 - Stage 1 - Epoch [14/50], Loss D: 5.1639, Loss G: 5.5854, D(x): 0.6391, D(G(z)): 0.3665 | 0.0061, aux_acc: 0.4722
2023-06-10 09:30:56.364 | INFO     | trainer_GAN:trainer_GAN:108 - Stage 1 - Epoch [15/50], Loss D: 5.0013, Loss G: 5.6031, D(x): 0.8700, D(G(z)): 0.2264 | 0.0428, aux_acc: 0.5556
2023-06-10 09:31:06.163 | INFO     | trainer_GAN:trainer_GAN:108 - Stage 1 - Epoch [16/50], Loss D: 4.8868, Loss G: 6.0714, D(x): 0.6295, D(G(z)): 0.1782 | 0.1799, aux_acc: 0.4722
2023-06-10 09:31:15.938 | INFO     | trainer_GAN:trainer_GAN:108 - Stage 1 - Epoch [17/50], Loss D: 4.7423, Loss G: 6.3301, D(x): 0.5995, D(G(z)): 0.3471 | 0.2398, aux_acc: 0.3889
2023-06-10 09:31:25.822 | INFO     | trainer_GAN:trainer_GAN:108 - Stage 1 - Epoch [18/50], Loss D: 4.6530, Loss G: 6.2164, D(x): 0.6020, D(G(z)): 0.2736 | 0.2127, aux_acc: 0.4444
2023-06-10 09:31:35.569 | INFO     | trainer_GAN:trainer_GAN:108 - Stage 1 - Epoch [19/50], Loss D: 4.5378, Loss G: 6.5002, D(x): 0.9045, D(G(z)): 0.1568 | 0.0203, aux_acc: 0.4722
2023-06-10 09:31:45.304 | INFO     | trainer_GAN:trainer_GAN:108 - Stage 1 - Epoch [20/50], Loss D: 4.6191, Loss G: 6.3125, D(x): 0.8053, D(G(z)): 0.0452 | 0.0319, aux_acc: 0.3889
